RMS_Smoothed_Filtered_right_TA,RMS_Smoothed_Filtered_right_RF,RMS_Smoothed_Filtered_right_VM,RMS_Smoothed_Filtered_right_MG,RMS_Smoothed_Filtered_left_TA,RMS_Smoothed_Filtered_left_RF,RMS_Smoothed_Filtered_left_VM,RMS_Smoothed_Filtered_left_MG
0.07488452382952954,0.5014436762866182,0.10077920111429765,0.18588232410661845,0.48182790489282923,0.30328903754453024,0.1486201495120263,0.1953798712326034
0.0706464223930056,0.4988933522667818,0.10466556011234995,0.1432737142458172,0.2785234564200923,0.45445013318838784,0.14924858877993755,0.19863212207714173
0.05207077262746393,0.47380822302502096,0.09410424957342794,0.09737931710409484,0.3958400056743809,0.469573399389671,0.12547255839083538,0.36047575280227984
0.05179190372125433,0.3068397195522898,0.05978535855697558,0.3988487673860021,0.42866642029504115,0.437500010869376,0.1370534697389036,0.45902445737410164
0.08885455364802176,0.2516836639418067,0.22248614060721594,0.6117673002368959,0.5598599976619207,0.17779357826588343,0.15806347385199,0.4514816157842682
0.1551496966109708,0.252368531811662,0.2591084018475822,0.6626407742197845,0.6906263632867928,0.14745635752926647,0.1536038281658825,0.5091607895424963
0.17648719387855066,0.2017824714896463,0.26065276921205627,0.6445617503754312,0.6993641490159254,0.14863564661960607,0.14990882604234387,0.3945099452391301
0.1765433951021062,0.46990586586413197,0.18628083817635283,0.382576051741974,0.6840001768460181,0.2629846234466595,0.144161132707864,0.3749044775043353
0.11627254524845823,0.5152388762628467,0.05936657879726972,0.2114725061534636,0.42030917235108894,0.26815542667746517,0.07813014826200211,0.21452834334047122
0.07605421244436786,0.5192331531699501,0.05471943653217113,0.2416720406055088,0.25894644841291464,0.2909840991684114,0.07994942293282106,0.05690196591639631
0.0697624698735611,0.4195064074711886,0.08940156281611605,0.3806826172372669,0.17805239132110343,0.26412684152821303,0.08399556366248138,0.07176849509062373
0.08103066901526017,0.1643474615790505,0.10723489851046088,0.7191500173930584,0.2658810089746131,0.21654699843937453,0.09806269759020002,0.248607146672688
0.08049458787357514,0.14127786791583818,0.3368488750315647,1.5504472863085919,0.49684747473377333,0.22604744257226736,0.10736684665933546,0.3218510689311356
0.0882399705021581,0.41280448147924337,0.401855912203791,1.5653396762612797,0.5366768377316389,0.25682723987460504,0.15016515190630686,0.3398264538778475
0.11040505498807283,0.7604086739732773,0.4939666034832079,1.5230870623328576,0.5066939026543889,0.2441960829397897,0.21409234157080187,0.30729410034539856
