ZC_mark,ZC_Smoothed_Filtered_right_TA,ZC_Smoothed_Filtered_right_RF,ZC_Smoothed_Filtered_right_VM,ZC_Smoothed_Filtered_right_MG,ZC_Smoothed_Filtered_left_TA,ZC_Smoothed_Filtered_left_RF,ZC_Smoothed_Filtered_left_VM,ZC_Smoothed_Filtered_left_MG
0,14,15,18,34,29,21,23,21
0,18,16,15,27,23,19,18,18
0,22,16,12,27,15,17,20,17
0,27,18,17,26,20,18,22,19
0,30,15,18,31,25,18,27,16
0,28,16,17,32,31,21,30,15
0,26,18,13,23,30,20,30,16
0,21,20,16,22,29,20,27,23
0,21,21,17,17,27,18,25,26
0,24,24,23,20,27,19,26,32
0,29,27,27,23,27,17,28,30
0,30,27,25,27,30,16,26,27
0,28,26,22,30,30,17,20,20
0,22,20,20,29,25,17,20,14
0,17,20,15,28,22,22,23,16
0,11,22,18,23,18,22,24,17
0,11,27,18,19,20,17,22,17
0,14,30,23,17,25,17,22,20
0,20,26,24,22,30,18,24,23
0,26,25,25,19,30,19,26,24
0,31,24,20,15,31,19,22,23
0,31,22,19,18,26,18,16,25
0,30,19,20,18,21,22,15,28
0,30,15,24,18,18,23,16,29
0,28,16,26,17,21,23,21,23
0,28,16,26,19,25,18,24,23
0,28,18,23,25,32,22,31,19
0,23,21,19,26,28,21,28,23
0,19,22,16,22,23,23,27,17
0,14,27,14,19,23,23,28,17
0,17,24,14,16,23,21,28,18
0,22,27,13,17,26,25,24,20
0,26,25,15,18,27,27,22,23
0,27,27,17,21,26,27,23,22
0,28,21,17,24,22,23,21,24
0,27,18,16,22,19,15,20,23
0,28,17,12,19,17,17,15,26
0,24,21,15,19,23,18,15,22
0,22,23,18,19,23,20,20,21
0,18,25,21,24,24,16,26,15
0,23,22,22,26,19,18,27,15
0,20,21,19,28,24,19,20,15
0,24,16,18,22,24,24,20,12
0,21,18,17,17,25,23,22,11
0,20,21,18,23,25,24,26,10
0,22,26,20,25,28,22,24,13
0,24,30,22,28,29,25,22,15
0,22,29,22,25,25,25,22,23
0,19,24,22,24,19,25,23,25
0,16,20,21,20,17,19,22,28
0,20,19,24,14,14,16,17,34
0,24,19,19,21,15,13,15,35
0,25,26,21,23,16,15,13,33
0,19,25,21,27,20,14,12,22
0,14,21,20,22,19,16,12,15
0,13,14,20,20,19,14,13,18
0,32,23,34,20,34,25,22,21
0,31,23,32,19,32,24,11,28
0,31,21,34,24,32,20,19,30
0,29,21,28,28,32,20,31,33
0,29,26,32,30,29,24,40,32
0,24,24,33,29,30,24,37,24
0,22,23,32,29,31,23,29,22
0,23,23,28,29,28,20,15,21
0,26,23,43,28,28,20,17,19
0,25,21,33,25,27,21,17,18
0,21,18,37,25,28,21,16,24
0,21,15,32,20,30,20,14,24
0,23,13,35,23,30,17,19,24
0,23,11,31,21,30,19,22,23
0,21,14,33,20,28,20,27,19
0,16,15,29,22,26,19,25,19
0,16,15,28,24,24,21,30,20
0,18,19,29,29,25,16,24,19
0,23,20,26,27,28,14,24,28
0,28,23,32,32,30,15,16,30
0,29,24,30,33,30,13,13,28
0,25,24,30,43,30,19,15,19
0,20,21,28,38,28,20,17,16
0,18,17,27,39,29,23,23,20
0,17,15,25,42,26,22,29,20
0,22,16,27,46,26,19,33,18
0,21,19,29,43,25,18,37,15
0,21,18,24,41,30,15,25,16
0,22,18,24,32,30,14,25,18
0,25,18,28,28,30,18,21,23
0,30,15,24,24,29,22,22,27
0,28,17,27,20,29,25,19,33
0,29,17,24,14,28,22,21,33
0,27,18,29,17,25,20,20,33
0,27,19,29,23,27,17,20,26
0,24,15,28,31,24,18,20,25
0,21,16,25,30,25,19,19,24
0,22,14,31,31,24,16,16,24
0,25,16,28,38,22,17,19,20
0,28,16,29,37,25,20,25,20
0,23,17,28,38,26,19,28,21
0,20,16,27,34,23,20,30,18
0,20,20,23,30,22,21,30,19
0,25,23,23,28,21,18,27,16
0,29,22,23,28,21,22,27,23
0,30,20,26,27,23,20,28,30
0,30,17,31,31,22,22,30,31
0,30,18,33,30,26,18,29,34
0,28,16,33,28,27,16,28,28
0,23,15,32,24,30,16,28,23
0,19,15,27,19,28,18,26,19
0,21,14,25,19,28,19,24,16
0,26,15,23,17,27,23,28,17
0,26,13,23,17,28,22,26,18
0,22,15,26,19,28,20,26,21
0,22,17,27,19,30,17,21,20
0,21,20,28,24,30,15,19,20
0,20,18,26,28,30,15,18,19
0,17,18,27,36,31,20,19,20
0,12,17,27,41,28,22,26,30
0,14,17,28,37,28,24,26,31
0,14,19,33,39,30,23,27,34
0,14,18,30,22,29,20,23,29
0,13,19,31,25,28,19,16,25
0,18,19,25,24,31,20,14,20
0,20,19,22,26,35,26,20,14
0,24,19,24,26,37,30,22,12
0,22,16,26,30,36,35,27,12
0,21,13,27,30,32,31,22,14
0,23,16,25,30,30,26,24,17
0,24,17,27,26,23,19,23,20
0,23,22,26,20,18,20,21,19
0,23,24,27,15,18,28,18,27
0,24,22,30,15,23,32,16,28
0,40,22,32,21,28,31,17,34
0,42,20,33,26,30,24,19,27
0,37,18,29,28,31,18,20,21
0,22,20,23,28,32,19,22,15
0,24,21,26,28,32,20,24,14
0,28,20,23,27,29,23,25,17
0,41,16,23,24,21,23,23,17
0,38,14,21,24,15,25,17,17
0,38,10,22,25,14,22,21,16
0,25,14,25,30,12,20,19,22
0,28,15,28,27,13,18,24,26
0,24,17,30,26,14,16,20,30
0,19,24,30,24,21,16,18,29
0,16,27,31,24,26,18,16,28
0,15,26,32,23,30,22,21,25
0,19,24,35,20,30,25,22,27
0,19,19,29,16,31,21,21,23
0,23,22,30,18,30,19,20,21
0,23,17,29,18,30,15,20,19
0,22,16,29,18,26,16,25,20
0,17,15,27,22,22,17,26,21
0,12,16,27,24,22,16,28,19
0,17,21,27,29,25,16,25,21
0,19,22,28,28,30,15,28,22
0,22,24,26,23,30,14,23,24
0,18,19,32,20,30,15,21,22
0,18,17,27,20,32,17,22,23
0,18,17,30,25,32,19,20,24
0,19,14,25,30,30,18,17,25
0,19,14,23,33,31,21,14,28
0,18,16,22,31,28,19,15,26
0,22,18,23,28,25,20,16,22
0,23,19,30,21,21,21,20,14
0,27,16,31,21,14,20,21,15
0,24,15,29,23,18,21,26,15
0,24,16,23,26,17,17,27,16
0,24,18,17,27,22,15,32,18
0,28,21,16,20,26,15,24,21
0,32,19,19,15,31,20,24,20
0,32,22,22,11,30,20,14,23
0,31,24,26,16,31,26,19,19
0,30,27,31,17,28,25,20,19
0,27,25,33,21,25,25,20,18
0,23,21,31,21,23,23,17,17
0,33,21,20,35,25,28,28,27
0,38,17,27,37,26,25,30,24
0,37,15,27,32,28,26,30,27
0,34,17,29,33,29,26,30,29
0,32,17,26,32,30,28,30,34
0,32,23,20,36,30,29,30,34
0,32,21,21,32,26,22,30,28
0,32,21,23,35,23,21,35,21
0,30,20,23,26,20,19,34,16
0,33,17,25,30,22,18,34,16
0,30,18,21,32,25,20,29,16
0,25,16,28,37,30,23,30,20
0,14,21,28,38,38,23,30,20
0,18,23,30,34,37,22,28,19
0,22,24,32,27,35,16,26,18
0,29,19,28,22,29,17,21,17
0,28,18,28,18,30,23,20,17
0,26,19,26,17,32,24,22,19
0,26,23,26,18,32,23,21,20
0,28,23,25,23,32,22,18,23
0,30,19,23,24,27,19,18,22
0,28,16,24,26,22,18,17,17
0,24,15,23,25,22,20,16,12
0,24,17,24,27,24,22,18,13
0,24,22,30,28,29,21,20,15
0,29,24,34,28,30,24,25,18
0,28,23,30,26,32,22,25,22
0,28,17,28,25,34,25,21,23
0,26,14,25,22,32,25,18,27
0,27,16,25,22,34,23,14,27
0,21,18,25,22,34,25,13,26
0,19,19,23,22,36,22,14,28
0,19,16,25,22,32,24,15,28
0,18,17,25,24,21,22,22,28
0,17,15,23,26,15,22,22,22
0,12,19,24,26,15,23,23,19
0,12,22,23,29,16,19,15,14
0,15,23,28,30,20,16,15,17
0,21,21,27,32,21,18,18,19
0,24,18,28,32,26,19,25,20
0,23,17,30,28,25,19,26,19
0,21,20,26,23,24,19,27,15
0,22,20,27,19,20,18,20,17
