Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,Comp Ch 1,Comp Ch 2,Comp Ch 3,Comp Ch 4,Comp Ch 5,Comp Ch 6,Comp Ch 7,Comp Ch 8,Comp Ch 9,Comp Ch 10,Comp Ch 11,Comp Ch 12,Comp Ch 13,Comp Ch 14,Comp Ch 15,Comp Ch 16,mark
0.052,-0.252163,-0.222734,0.0910868,0.129136,-0.0120897,0.0422043,-0.00240874,-0.010646,-0.318318,-0.214657,0.0886943,0.136484,-0.00643878,0.0310565,0.0120481,-0.0115643,-0.42373,-0.0679028,0.0419175,0.0150942,-0.0195862,0.00600379,0.0073514,-0.0019856,
0.053,-0.118774,-0.225908,0.0832148,0.100867,-0.00115868,0.0379839,0.00172451,-0.0133519,-0.17675,-0.217881,0.0843786,0.11497,0.00291883,0.022502,0.0189095,-0.0139952,-0.290708,-0.0640446,0.037428,0.00719126,-0.00964076,-0.000574874,0.0140393,-0.00468614,
0.054,0.0947387,-0.212671,0.0719033,0.0658066,0.00334765,0.0601719,-0.0302014,-0.0134139,0.0494913,-0.206,0.0756633,0.0845099,0.00408682,0.0423468,-0.0166103,-0.013128,-0.0639672,-0.0472499,0.0305363,-0.00800062,-0.0079693,0.0173858,-0.0194809,-0.00366818,
0.055,0.275517,-0.189586,0.0662048,0.0364942,0.00936258,0.074441,-0.0114372,-0.0140269,0.244188,-0.1861,0.0719691,0.0571639,0.00746114,0.0560036,-0.00561409,-0.0123536,0.12217,-0.0222291,0.0278508,-0.0212467,-0.00377319,0.0337027,-0.00906546,-0.0033178,
0.056,0.333633,-0.165944,0.0582837,0.019441,0.0251241,0.076777,0.0416361,-0.0158131,0.318418,-0.167273,0.0661298,0.0399383,0.0223243,0.0607557,0.0387727,-0.013057,0.199769,-0.00204152,0.0253325,-0.0229332,0.0113281,0.0373788,0.0376383,-0.0039613,
0.057,0.283332,-0.158974,0.0513286,0.0286579,0.0406376,0.0510762,0.0692421,-0.0157555,0.287484,-0.165743,0.0615456,0.0474812,0.0375001,0.0406908,0.0609048,-0.0128826,0.16066,0.000384521,0.0230251,-0.000885001,0.0274497,0.020418,0.0591903,-0.0044404,
0.058,0.12509,-0.173458,0.0452463,0.0271015,0.0536651,0.0248036,0.0626008,-0.0155216,0.148383,-0.184836,0.0569302,0.0423034,0.0494335,0.0222881,0.053366,-0.013463,0.027225,-0.022772,0.0231187,0.00948906,0.0394963,0.00187311,0.0541478,-0.00511147,
0.059,-0.0787732,-0.185693,0.0413675,0.00632819,0.0424582,0.0188032,0.039241,-0.0151324,-0.0399624,-0.200042,0.052295,0.0162652,0.0363704,0.0238134,0.0300481,-0.014037,-0.167783,-0.0438539,0.0220522,-0.00154844,0.0274983,0.00675019,0.0308331,-0.00664551,
0.06,-0.218127,-0.179519,0.0337358,-0.014556,0.00903649,0.0175622,0.0222114,-0.0153161,-0.168844,-0.195676,0.041637,-0.0112311,0.00238875,0.0280867,0.0102565,-0.0147472,-0.289383,-0.0509094,0.0172195,-0.0136365,-0.00633533,0.0116932,0.0133569,-0.00756795,
0.061,-0.140504,-0.181565,0.0264635,-0.0311201,-0.0191537,0.00838154,0.0270714,-0.0145696,-0.0858654,-0.198631,0.0306268,-0.0353958,-0.0236696,0.0232711,0.010871,-0.0142692,-0.210461,-0.068931,0.0110123,-0.0223376,-0.0313108,0.0103403,0.0147808,-0.00838129,
0.062,-0.000535814,-0.194145,0.0188424,-0.0353295,-0.0248712,-0.00331458,0.0167339,-0.0137313,0.0522684,-0.209785,0.0199281,-0.0465816,-0.0257338,0.0157696,8.55e-05,-0.0141095,-0.0648819,-0.100483,0.00689072,-0.018312,-0.0332485,0.00403761,0.00570529,-0.0086145,
0.063,0.137385,-0.213502,0.0131009,-0.0366622,-0.0210894,-0.00149131,0.0203069,-0.00927386,0.184026,-0.224802,0.0119706,-0.052485,-0.0189296,0.0203226,0.0111383,-0.0109292,0.0665139,-0.141599,0.00478039,-0.00825141,-0.0253033,0.0123771,0.0184665,-0.00704328,
0.064,0.33182,-0.256869,0.00476828,-0.0511028,-0.0119839,0.0147974,0.0237829,-0.00740066,0.366892,-0.262155,0.00147024,-0.0680859,-0.00795459,0.035198,0.0258527,-0.01043,0.256805,-0.209445,0.00124655,-0.00841938,-0.0141091,0.0286267,0.0340492,-0.00718177,
0.065,0.533496,-0.328251,-0.00148104,-0.0675075,-0.00403525,0.00656121,0.00517352,-0.00564181,0.545545,-0.327277,-0.00717587,-0.0826203,0.00133156,0.020691,0.01522,-0.0091708,0.439534,-0.312454,-0.000795399,-0.00644353,-0.00349248,0.0182893,0.0259167,-0.00775965,
0.066,0.598511,-0.384074,-0.00871869,-0.0755493,1.41e-05,-0.0163635,-0.000426237,-0.00257703,0.577755,-0.377478,-0.0163687,-0.0875322,0.00674996,-0.0101723,0.0117229,-0.00556986,0.478953,-0.403381,-0.00293717,0.00490306,0.00222763,-0.011208,0.0225714,-0.00510609,
0.067,0.514566,-0.375569,-0.018169,-0.10111,0.00279332,-0.0354483,-0.00964752,0.000171354,0.464509,-0.365058,-0.0260273,-0.109765,0.0103935,-0.0360853,0.00119287,-0.0019475,0.373974,-0.440154,-0.00559365,-8.28e-06,0.00746624,-0.0325611,0.0148265,-0.00343006,
0.068,0.3411,-0.323622,-0.0266088,-0.128783,0.00728636,-0.0390064,-0.0289933,0.000498893,0.276499,-0.311836,-0.0324666,-0.132592,0.0140531,-0.0450391,-0.0173762,-0.0010758,0.193747,-0.436853,-0.00510937,-0.00503457,0.0114041,-0.04047,-0.00420957,-0.00377399,
0.069,0.21234,-0.23883,-0.0369365,-0.145974,0.0174653,-0.036939,-0.076728,0.00653197,0.148861,-0.227713,-0.0396432,-0.1431,0.021339,-0.0480741,-0.0609762,0.00524825,0.0770847,-0.411209,-0.00522046,0.00265714,0.0205748,-0.0387998,-0.0453583,0.000564609,
0.07,0.0933919,-0.151884,-0.0452538,-0.16459,0.0303239,-0.02224,-0.101726,0.00821788,0.0388838,-0.143623,-0.0450448,-0.154817,0.0302992,-0.0381323,-0.0826312,0.00734724,-0.0238114,-0.384099,-0.00402989,0.0108126,0.0295799,-0.0279695,-0.0678387,0.00113627,
0.071,-0.132297,-0.0637689,-0.0560098,-0.172908,0.0326176,-0.013075,-0.094136,0.00330814,-0.172081,-0.0613869,-0.0537836,-0.158037,0.0293924,-0.0321656,-0.0788219,0.00358262,-0.223669,-0.364483,-0.00600054,0.0268414,0.0305951,-0.0173634,-0.0624792,-0.00452331,
