RMS_Smoothed_Filtered_right_TA,RMS_Smoothed_Filtered_right_RF,RMS_Smoothed_Filtered_right_VM,RMS_Smoothed_Filtered_right_MG,RMS_Smoothed_Filtered_left_TA,RMS_Smoothed_Filtered_left_RF,RMS_Smoothed_Filtered_left_VM,RMS_Smoothed_Filtered_left_MG,MAV_mark,MAV_Smoothed_Filtered_right_TA,MAV_Smoothed_Filtered_right_RF,MAV_Smoothed_Filtered_right_VM,MAV_Smoothed_Filtered_right_MG,MAV_Smoothed_Filtered_left_TA,MAV_Smoothed_Filtered_left_RF,MAV_Smoothed_Filtered_left_VM,MAV_Smoothed_Filtered_left_MG,WL_mark,WL_Smoothed_Filtered_right_TA,WL_Smoothed_Filtered_right_RF,WL_Smoothed_Filtered_right_VM,WL_Smoothed_Filtered_right_MG,WL_Smoothed_Filtered_left_TA,WL_Smoothed_Filtered_left_RF,WL_Smoothed_Filtered_left_VM,WL_Smoothed_Filtered_left_MG,ZC_mark,ZC_Smoothed_Filtered_right_TA,ZC_Smoothed_Filtered_right_RF,ZC_Smoothed_Filtered_right_VM,ZC_Smoothed_Filtered_right_MG,ZC_Smoothed_Filtered_left_TA,ZC_Smoothed_Filtered_left_RF,ZC_Smoothed_Filtered_left_VM,ZC_Smoothed_Filtered_left_MG
0.0367103799080252,0.212398589119251,0.1581724276260255,0.0741266254796341,0.0640288601047966,0.1046183091109285,0.06506059151175,0.1273365179657873,0.0,0.0284668328210746,0.1480286887228467,0.1200140281608461,0.0589410123152832,0.0510995083316081,0.0817475102065022,0.0551864484036117,0.0985934348882701,0.0,3.4581668759543693,9.21754381512628,7.736818586454802,3.965653150479137,5.931638177681977,6.071017311968934,2.929170407820492,4.836160582012397,0,28,18,18,21,38,26,18,17
0.0355788253033712,0.0923234059367928,0.1388605654849067,0.090316742980591,0.0773319265275653,0.1104095741844308,0.0687815225368748,0.1440778781430493,0.0,0.0281766904237615,0.0778501655731939,0.1054089289094366,0.0723888619112847,0.0585659723613659,0.088739694025185,0.0588564053745908,0.1236535750874368,0.0,3.172335578629588,4.381823230315721,6.223892869089544,4.428627583536401,8.297999444584871,6.796348911829537,3.805746318925084,5.686222987183818,0,26,16,14,17,44,22,22,13
0.058232252063788,0.190668366032295,0.1444229977819914,0.1511881158215971,0.0892356460469277,0.1250602632792441,0.0765845696896501,0.1080665773544563,0.0,0.0411105919222227,0.1081013704090824,0.1057453713936903,0.1060764994125431,0.0663706501631227,0.1004818637138457,0.062339370569844,0.0877520571818118,0.0,4.692711565366709,5.245850635379575,6.317769003293776,6.316523610286483,9.015075941368128,8.126561584325433,5.2024303575073,4.773352502359735,0,26,15,13,17,43,23,28,18
0.0661882649882237,0.4065314693695085,0.2020363854563641,0.2074213655880815,0.0945398819723235,0.1512682323449907,0.0764133090485994,0.1017666371005891,0.0,0.0495121652817204,0.2575075955753186,0.1441932808369372,0.1486885813403153,0.0697622875664105,0.1241829676109221,0.0614188240835851,0.0776504840479497,0.0,6.141244024465991,11.974754288326462,9.024375951482783,11.481649947622694,9.411666865681454,9.636099572932526,5.517248278186437,4.517287132272664,0,30,16,16,23,44,20,28,19
0.1305782252261083,0.4415751634226048,0.2229572850057396,0.2896563754461402,0.1150040074390816,0.1489876933599033,0.074255247318753,0.1200407026623522,0.0,0.0927822528949835,0.3181784587280429,0.1710751167935183,0.2246701470802013,0.0912615245687791,0.1217242304763513,0.0568532746415349,0.0880076076162755,0.0,8.886696373143486,15.16819250809074,10.81773038025644,16.587401151506434,11.494683572885783,10.081940629318138,5.209059264580703,6.326982988810566,0,28,16,16,22,37,22,28,22
0.1294174374788865,0.4616198653296503,0.2277836906258623,0.305020742921282,0.1150021249151374,0.1374213862984241,0.0627237987437733,0.1553552660159748,0.0,0.0892196865135784,0.364451047790009,0.1799923495288685,0.2429532989388642,0.0919481609499117,0.1108496080780301,0.0459025070590869,0.1211062205718727,0.0,8.274985030254278,17.453498280701357,11.469076594134677,18.18913216755566,12.591318072368956,8.681463696838858,4.101173385651185,7.3999789280011825,0,29,14,18,23,39,22,27,20
0.1228376216632921,0.3086508890357203,0.1835028295740932,0.2736896836386451,0.105454241110926,0.1245242130616306,0.0516346813417822,0.1820972745229992,0.0,0.0799946502091,0.2488432549769999,0.1290387578527912,0.2052697029071874,0.0816938065542818,0.0987200012131528,0.0371168657484014,0.1552250639485421,0.0,6.750020774356604,13.158239112779722,6.895869775220778,13.96586712856812,11.19356975683019,7.363913969599961,3.169561402509843,8.565725261458248,0,27,15,16,21,37,21,25,18
0.0698976329899199,0.2888228926558852,0.1078090469565499,0.204099288476476,0.0835115943859862,0.1305378268289392,0.0414848486176488,0.1739683232531207,0.0,0.0483181364852212,0.2304925249462856,0.0815027683329377,0.1443915411203714,0.0597920957008316,0.1007030427074468,0.0287183424193558,0.1472323153143196,0.0,4.6894596838902585,12.794910774468809,5.308807722004675,8.378441415043925,7.960753516615801,6.750120272540078,2.317519914064801,9.366183526465116,0,31,18,18,19,38,22,29,21
0.0739899781194722,0.2961042077023327,0.1623994578836765,0.1585997182897487,0.0500116626895176,0.1087976775903351,0.0259797162448435,0.1521704216279759,0.0,0.0486813880910823,0.2349002903154148,0.1077564090722028,0.0976401090508134,0.0354458727585173,0.0734907355051457,0.0195609922713478,0.1282248144451157,0.0,6.28684243114178,12.241109379397091,9.203678680318472,6.3675562365105804,3.787170865949996,4.486204447846853,1.474215182578376,9.895006950967067,0,33,18,23,19,32,21,28,23
0.0709075952103254,0.4280668227490841,0.1782941294956855,0.0745760131808758,0.0363403581914415,0.1156219886455377,0.0225963769478199,0.1203826671634351,0.0,0.0428692398574563,0.3259800994839344,0.1249098864191169,0.0562783977228959,0.0264862298569153,0.0797217565934076,0.0174340780736072,0.0983199047703981,0.0,5.684046618708821,15.985365920313251,11.330101389783277,3.188459499636935,2.979337069560666,4.6703823644876445,1.116581980330473,8.306766744730485,0,32,17,26,18,38,17,23,20
0.0694629426604356,0.5229931372373907,0.1787118641984366,0.0849610948387196,0.0591042585696784,0.1101379238929802,0.0330292196993364,0.0893678969150467,0.0,0.0390010314549234,0.4069410737048912,0.1272149534419783,0.0615702073100542,0.0406475569176429,0.0795810199967454,0.0227024230424734,0.0653863075461136,0.0,5.2850270608072005,17.199612817568703,11.827763248404242,3.5630448237648307,4.8831902046285816,4.503040354474508,1.3423953942031823,5.126184905727383,0,35,16,30,15,41,16,20,20
0.0314274365090675,0.5449672028458402,0.1412207723999411,0.1268607683822257,0.0561316647923679,0.1197667862535845,0.0435312637433046,0.0494737263957537,0.0,0.0218984490438461,0.4288295502919663,0.0905192333111788,0.0922565766770519,0.0367767464416756,0.0950232929059754,0.0336070022357501,0.0352877520910869,0.0,2.3672279521352086,18.681832963357422,8.287238426736977,5.716193641434369,4.3722945168126,4.930068695754681,2.0969203374867504,2.4838515438598643,0,33,18,33,17,36,13,14,18
0.0363762382518677,0.4818193904114652,0.061346746781523,0.1455327932759177,0.0608370784335102,0.1362654906849031,0.0548756662000215,0.0643030732067403,0.0,0.0227483122751266,0.360407994149568,0.0476462690056133,0.1146697254062448,0.0424561393201112,0.1160332908772771,0.0440217582225926,0.0424019795417628,0.0,2.538736983546673,15.589874482043069,4.215726143081668,6.693289648079518,5.141544282572591,5.455315130298269,2.6491786142535245,2.149847006398219,0,39,19,31,17,38,13,14,17
0.0447200096434591,0.3879858241608739,0.0569682553880748,0.1531542703712558,0.0507527644428724,0.116286415008954,0.0709265837359101,0.0973323536071669,0.0,0.0287426648338272,0.2703096965805569,0.0443961116806275,0.1262184999981539,0.0357215978342895,0.0981333645039711,0.0552615911543528,0.0702061504944309,0.0,2.7043709608651154,12.518512138358163,3.876978029012254,7.390613567191357,4.950126909081533,4.588051906395039,3.098623649620777,3.217016220409829,0,36,19,28,16,39,13,17,14
